,종목명,현재가격,거래량
0,KODEX 200선물인버스2X,"3,390","132,977,596"
1,KODEX 코스닥150선물인버스,"5,265","38,001,159"
2,SH에너지화학,"1,040","26,033,414"
3,현대약품,"6,450","23,106,106"
4,KODEX 인버스,"5,075","21,979,247"
5,KODEX 레버리지,"13,955","19,799,658"
6,국동,"2,010","12,472,641"
7,KODEX 코스닥150레버리지,"7,830","11,356,264"
8,GS글로벌,"3,425","11,146,385"
9,TIGER 차이나전기차SOLACTIVE,"16,410","9,929,957"
10,삼성 인버스 2X WTI원유 선물 ETN,120,"9,929,944"
11,아남전자,"2,485","9,906,668"
12,일동제약,"40,400","8,604,298"
13,대한전선,"1,760","8,214,385"
14,삼성전자,"58,200","7,246,541"
15,TIGER 200선물인버스2X,"3,550","6,641,479"
16,사조동아원,"1,500","4,568,338"
17,쌍방울,550,"4,371,504"
18,삼부토건,"2,160","4,132,754"
19,고려산업,"6,680","3,751,973"
20,DB하이텍,"40,450","3,620,301"
21,까뮤이앤씨,"2,220","3,589,255"
22,TRUE 인버스 2X 천연가스 선물 ETN(H),655,"3,018,836"
23,삼성중공업,"5,330","2,877,686"
24,대성에너지,"11,300","2,872,296"
25,KODEX 코스닥150,"10,585","2,842,690"
26,부산주공,823,"2,587,357"
27,신한 인버스 2X 천연가스 선물 ETN,355,"2,561,764"
28,후성,"16,050","2,556,450"
29,에이프로젠 MED,"1,580","2,465,186"
30,KBSTAR KIS단기종합채권(AA-이상)액티브,"100,785","2,457,878"
31,신한 인버스 2X WTI원유 선물 ETN(H),110,"2,434,354"
32,KODEX 200,"30,540","2,412,008"
33,두산에너빌리티,"17,850","2,397,326"
34,팬오션,"5,230","2,327,562"
35,NPC,"8,960","2,227,537"
36,국제약품,"5,980","2,065,320"
37,KODEX 단기채권,"103,410","1,995,878"
38,KODEX WTI원유선물인버스(H),"4,325","1,884,168"
39,서울식품,251,"1,874,277"
40,TYM,"2,390","1,853,214"
41,LG디스플레이,"14,600","1,788,053"
42,KEC,"2,505","1,778,470"
43,일동홀딩스,"31,100","1,668,320"
44,SK하이닉스,"93,400","1,637,202"
45,신일전자,"2,070","1,636,038"
46,대한항공,"23,400","1,547,429"
47,한국토지신탁,"1,590","1,421,885"
48,대호에이엘,"2,305","1,416,797"
49,대한제당,"3,230","1,371,301"
50,HMM,"23,400","1,369,795"
51,우리금융지주,"11,250","1,341,522"
52,와이투솔루션,760,"1,334,951"
53,TIGER 원유선물인버스(H),"3,015","1,328,930"
54,SK바이오사이언스,"146,000","1,298,754"
55,진원생명과학,"12,000","1,287,255"
56,한창,909,"1,272,886"
57,써니전자,"2,695","1,256,832"
58,대원화성,"2,810","1,226,290"
59,KODEX 은행,"5,890","1,218,999"
60,TIGER KEDI혁신기업ESG30,"8,675","1,159,954"
61,진흥기업,"1,610","1,147,873"
62,광명전기,"2,950","1,116,459"
63,부광약품,"8,840","1,107,241"
64,하나금융지주,"35,750","1,103,033"
65,한신기계,"8,730","1,093,824"
66,KODEX 2차전지산업,"16,735","1,079,257"
67,대한해운,"2,295","1,075,896"
68,미래에셋증권,"6,150","1,064,443"
69,우리종금,890,"1,020,553"
70,TIGER 코스닥150선물인버스,"5,385","993,324"
71,일진홀딩스,"6,420","985,902"
72,신성이엔지,"1,825","970,765"
73,카카오뱅크,"29,900","970,552"
74,TIGER 2차전지테마,"16,840","970,408"
75,SG세계물산,539,"967,650"
76,에스디바이오센서,"48,150","958,209"
77,한화투자증권,"3,010","957,073"
78,수산중공업,"2,985","942,557"
79,대성산업,"5,040","909,266"
80,카카오,"69,900","855,320"
81,대원제약,"18,850","833,602"
82,팜젠사이언스,"8,500","819,468"
83,신송홀딩스,"11,700","807,984"
84,동양철관,"1,045","807,464"
85,KODEX 미국달러선물인버스2X,"7,115","790,560"
86,한화생명,"2,095","787,680"
87,남선알미늄,"2,055","787,287"
88,SK증권,709,"777,398"
89,신한지주,"35,500","767,622"
90,KG스틸,"12,350","766,238"
91,신한 인버스 2X 천연가스 선물 ETN(H),215,"760,749"
92,모나리자,"3,400","760,166"
93,기아,"78,100","759,055"
94,제이알글로벌리츠,"4,365","741,483"
95,한국항공우주,"47,900","738,721"
96,대우건설,"5,370","736,324"
97,에어부산,"1,360","728,405"
98,금호에이치티,"1,245","727,507"
99,삼성 블룸버그 인버스 2X WTI원유 선물 ETN,"17,380","716,721"
